browser,city,datetime,ip,method,module
chrome,宜都市,2019-05-27 00:31:47,175.83.83.87,delete,项目详情
ie,建军县,2019-05-24 09:50:42,192.175.13.165,get,项目列表
safari,乌鲁木齐县,2019-05-28 07:26:23,169.201.129.49,option,任务详情
ie,龙县,2019-05-26 00:38:45,192.172.74.3,delete,主页
ie,北京县,2019-05-25 00:28:38,192.56.204.58,put,主页
safari,华市,2019-05-25 01:38:44,169.201.129.49,option,项目详情
ie,乌鲁木齐县,2019-05-24 13:07:58,192.174.91.31,delete,项目列表
chrome,南京市,2019-05-27 07:44:47,192.88.57.235,option,主页
chrome,汕尾县,2019-05-28 01:13:32,192.52.201.75,get,主页
ie,龙县,2019-05-21 13:31:25,198.51.208.103,get,任务详情
safari,玉英县,2019-05-26 12:15:59,192.52.68.139,option,任务详情
firefox,潜江县,2019-05-28 22:35:48,203.98.157.202,put,任务列表
ie,南京市,2019-05-20 01:14:39,192.88.104.231,put,项目列表
ie,龙县,2019-05-21 02:12:29,192.91.130.219,delete,项目列表
safari,想县,2019-05-24 22:01:30,203.0.112.147,get,任务列表
firefox,建军县,2019-05-26 10:45:51,198.50.54.119,option,个人信息
chrome,南京市,2019-05-20 22:26:47,192.0.11.58,put,任务列表
firefox,北京县,2019-05-21 23:14:47,169.253.193.81,post,主页
firefox,伟县,2019-05-26 10:44:37,192.56.204.58,post,项目详情
chrome,想县,2019-05-27 05:17:57,198.51.232.199,get,任务列表
firefox,玉英县,2019-05-23 00:45:19,192.175.169.242,option,任务列表
safari,利县,2019-05-28 23:08:26,169.230.50.203,post,主页
chrome,建军县,2019-05-21 05:50:42,169.169.36.164,post,任务详情
ie,天津市,2019-05-27 11:41:51,192.174.87.217,delete,项目列表
ie,巢湖县,2019-05-20 04:21:43,192.174.91.31,delete,任务列表
chrome,建军县,2019-05-28 10:43:41,192.172.74.3,get,项目列表
firefox,北京县,2019-05-28 12:12:28,1.228.115.113,put,任务详情
ie,建军县,2019-05-21 17:04:03,169.255.140.124,option,项目列表
ie,天津市,2019-05-24 20:34:32,4.254.229.140,put,项目详情
ie,刚市,2019-05-22 10:35:34,192.52.152.30,put,个人信息
safari,颖市,2019-05-26 15:07:13,192.168.121.59,delete,个人信息
ie,宜都市,2019-05-27 05:05:19,55.128.250.95,post,主页
chrome,玉英县,2019-05-23 09:49:11,192.54.169.39,put,主页
ie,伟县,2019-05-25 14:29:52,192.53.2.210,option,个人信息
chrome,建军县,2019-05-20 22:46:44,192.175.13.165,delete,任务详情
firefox,想县,2019-05-25 04:47:27,203.0.59.155,option,项目列表
firefox,天津市,2019-05-21 02:00:45,197.106.201.98,option,个人信息
chrome,北京县,2019-05-27 13:05:02,192.167.183.73,option,项目列表
ie,汕尾县,2019-05-24 19:07:22,192.94.13.134,put,任务列表
safari,潜江县,2019-05-20 06:17:45,192.52.172.81,delete,任务列表
ie,刚市,2019-05-28 02:59:28,192.31.204.69,put,任务列表
ie,东莞县,2019-05-21 23:20:34,192.52.143.138,delete,任务列表
safari,玉英县,2019-05-22 10:00:12,192.31.211.99,get,主页
safari,华县,2019-05-22 06:14:49,203.6.167.148,option,个人信息
chrome,巢湖县,2019-05-21 13:19:27,198.50.60.244,delete,任务列表
firefox,天津市,2019-05-19 21:37:57,192.3.52.74,option,个人信息
ie,龙县,2019-05-22 03:40:16,192.83.9.215,delete,任务列表
chrome,想县,2019-05-22 02:48:23,192.197.89.19,post,项目详情
chrome,华县,2019-05-20 22:07:31,192.54.169.39,put,项目详情
chrome,倩市,2019-05-23 10:15:11,198.50.75.135,option,项目详情
ie,利县,2019-05-22 14:00:04,199.190.135.236,delete,个人信息
chrome,天津市,2019-05-21 06:09:50,192.0.53.46,delete,主页
chrome,乌鲁木齐县,2019-05-23 20:00:27,192.197.89.19,delete,项目列表
chrome,利县,2019-05-26 07:51:15,193.217.128.227,post,主页
chrome,北京县,2019-05-23 00:42:10,169.201.129.49,option,个人信息
safari,天津市,2019-05-25 11:52:13,169.201.129.49,delete,任务详情
firefox,南京市,2019-05-29 13:46:29,192.52.252.250,put,项目详情
ie,巢湖县,2019-05-24 20:34:54,192.53.2.210,get,项目详情
ie,潜江县,2019-05-28 09:23:14,192.88.66.73,option,个人信息
safari,华县,2019-05-22 22:40:53,192.197.89.19,put,任务详情
ie,汕尾县,2019-05-25 14:06:35,198.51.232.199,post,项目详情
chrome,北京县,2019-05-27 02:45:28,169.230.50.203,delete,主页
chrome,汕尾县,2019-05-27 19:58:02,4.254.229.140,post,任务列表
firefox,南京市,2019-05-23 14:59:24,192.53.2.210,put,个人信息
firefox,南京市,2019-05-19 21:52:38,192.175.169.242,put,任务详情
firefox,天津市,2019-05-24 18:03:50,4.254.229.140,put,个人信息
safari,华市,2019-05-21 21:52:59,192.1.229.163,get,主页
firefox,乌鲁木齐县,2019-05-26 14:20:07,203.0.59.155,get,主页
firefox,伟县,2019-05-21 21:27:09,192.88.96.161,delete,个人信息
safari,华县,2019-05-23 03:32:58,192.91.20.221,delete,项目列表
chrome,天津市,2019-05-29 20:46:22,192.94.13.134,get,主页
firefox,利县,2019-05-28 02:52:25,192.3.52.74,put,任务详情
firefox,利县,2019-05-22 07:57:31,192.0.3.183,put,个人信息
firefox,南京市,2019-05-25 12:41:00,203.0.59.155,option,任务列表
firefox,玉英县,2019-05-29 04:18:46,192.174.91.31,get,个人信息
chrome,想县,2019-05-23 19:14:26,192.0.86.164,option,项目列表
chrome,潜江县,2019-05-24 00:38:11,192.52.198.1,get,项目详情
firefox,巢湖县,2019-05-25 20:45:58,198.51.101.164,get,任务详情
ie,巢湖县,2019-05-25 08:59:35,198.50.75.135,post,任务详情
firefox,南京市,2019-05-28 02:36:42,192.172.71.27,post,个人信息
firefox,建军县,2019-05-21 12:53:44,175.83.83.87,delete,项目列表
chrome,汕尾县,2019-05-20 20:51:09,169.230.50.203,get,项目列表
chrome,玉英县,2019-05-23 00:27:47,192.175.75.191,delete,任务列表
firefox,潜江县,2019-05-28 00:54:38,198.51.98.171,put,主页
firefox,龙县,2019-05-23 17:49:01,7.216.233.147,put,主页
safari,华市,2019-05-22 22:40:45,169.255.215.157,get,项目列表
ie,华市,2019-05-25 11:10:10,192.52.252.250,get,任务列表
ie,汕尾县,2019-05-29 00:14:48,4.248.225.66,delete,项目详情
firefox,龙县,2019-05-26 09:35:03,192.91.130.219,get,任务列表
safari,倩市,2019-05-28 08:41:06,192.88.66.73,delete,项目列表
safari,伟县,2019-05-29 13:31:54,197.154.176.98,option,任务列表
safari,玉英县,2019-05-27 10:55:54,169.255.140.124,delete,个人信息
safari,倩市,2019-05-22 23:19:24,192.3.52.74,post,个人信息
safari,龙县,2019-05-29 01:39:24,192.54.169.39,delete,个人信息
safari,玉英县,2019-05-23 12:39:26,169.169.36.164,post,主页
firefox,巢湖县,2019-05-20 21:31:54,192.52.198.1,get,任务列表
chrome,北京县,2019-05-20 14:44:53,192.168.121.59,delete,项目列表
firefox,颖市,2019-05-28 00:30:14,198.51.98.171,delete,主页
chrome,宜都市,2019-05-20 19:48:52,212.5.96.172,option,任务列表
safari,想县,2019-05-24 04:05:52,192.88.57.235,put,项目详情
firefox,北京县,2019-05-20 15:15:03,192.88.66.73,put,项目详情
ie,龙县,2019-05-23 07:07:56,192.52.192.218,post,项目列表
safari,颖市,2019-05-29 19:29:12,198.51.232.199,get,主页
ie,玉英县,2019-05-25 08:55:55,192.31.178.28,option,项目列表
chrome,华县,2019-05-25 20:07:30,192.88.127.141,put,任务详情
firefox,华县,2019-05-23 17:57:55,198.17.139.74,put,主页
ie,北京县,2019-05-27 02:28:56,192.174.91.31,put,主页
firefox,宜都市,2019-05-27 11:23:53,198.51.98.171,delete,任务列表
chrome,华县,2019-05-21 12:39:20,192.88.96.161,get,项目列表
chrome,建军县,2019-05-24 03:47:54,192.53.2.210,get,任务列表
chrome,东莞县,2019-05-20 08:58:11,198.51.108.180,post,主页
ie,乌鲁木齐县,2019-05-27 06:40:24,193.217.128.227,get,主页
ie,巢湖县,2019-05-20 13:00:46,192.93.129.42,option,主页
ie,宜都市,2019-05-20 14:04:51,216.111.3.86,put,项目列表
firefox,龙县,2019-05-24 08:00:12,169.255.140.124,option,任务列表
ie,巢湖县,2019-05-20 07:35:35,192.175.75.191,option,项目详情
firefox,伟县,2019-05-27 10:29:34,192.168.121.59,option,个人信息
firefox,建军县,2019-05-23 12:10:58,192.172.74.3,option,主页
firefox,利县,2019-05-27 17:39:36,192.175.38.219,delete,项目详情
chrome,想县,2019-05-29 15:58:11,203.0.76.165,get,项目详情
chrome,颖市,2019-05-25 04:13:25,192.31.216.190,get,任务详情
ie,东莞县,2019-05-26 16:44:20,192.31.204.69,post,主页
ie,华市,2019-05-21 09:51:05,192.197.89.19,post,个人信息
ie,利县,2019-05-28 01:40:27,200.65.59.250,delete,项目详情
chrome,汕尾县,2019-05-28 00:16:52,192.6.65.180,put,项目列表
safari,建军县,2019-05-22 04:06:56,169.253.193.81,get,项目详情
safari,巢湖县,2019-05-24 00:10:24,216.111.3.86,delete,个人信息
safari,华市,2019-05-22 21:20:38,192.88.104.231,option,任务列表
safari,潜江县,2019-05-29 09:46:32,197.106.201.98,post,个人信息
ie,天津市,2019-05-21 03:06:23,202.112.176.9,put,任务列表
safari,乌鲁木齐县,2019-05-25 21:09:41,203.0.84.137,option,主页
firefox,天津市,2019-05-29 13:58:48,169.255.215.157,delete,任务详情
ie,倩市,2019-05-21 03:34:38,192.52.252.250,delete,项目列表
ie,龙县,2019-05-29 19:14:47,1.228.115.113,delete,任务列表
ie,伟县,2019-05-28 01:34:09,121.106.8.72,option,任务详情
firefox,建军县,2019-05-28 21:04:34,192.88.156.255,post,任务详情
safari,华县,2019-05-24 23:35:03,192.88.96.161,put,个人信息
safari,刚市,2019-05-26 07:40:17,198.51.98.171,get,项目详情
chrome,华市,2019-05-27 04:25:51,169.255.215.157,get,项目列表
ie,刚市,2019-05-22 08:58:18,192.0.3.183,get,主页
chrome,潜江县,2019-05-20 09:20:28,192.175.38.219,option,任务详情
firefox,南京市,2019-05-21 14:00:57,192.175.58.238,get,任务详情
chrome,巢湖县,2019-05-22 10:15:11,197.106.201.98,get,主页
safari,华市,2019-05-20 23:27:21,192.175.169.242,get,项目列表
firefox,潜江县,2019-05-29 18:49:49,198.50.75.135,put,任务列表
ie,北京县,2019-05-22 16:55:47,200.238.69.190,option,项目详情
firefox,乌鲁木齐县,2019-05-21 04:43:01,192.167.183.73,get,主页
chrome,颖市,2019-05-23 11:30:03,192.0.3.183,get,任务列表
safari,建军县,2019-05-22 02:32:09,203.0.76.165,delete,个人信息
firefox,利县,2019-05-22 21:38:58,192.174.87.217,post,项目列表
ie,伟县,2019-05-20 01:51:13,192.175.51.205,option,任务详情
firefox,南京市,2019-05-24 09:18:43,192.88.156.255,post,项目列表
firefox,玉英县,2019-05-25 11:32:33,192.91.130.219,option,项目详情
firefox,龙县,2019-05-20 05:37:40,192.52.68.139,option,任务详情
safari,刚市,2019-05-27 04:16:21,192.83.9.215,get,任务详情
safari,潜江县,2019-05-23 02:05:05,198.51.101.90,put,主页
ie,伟县,2019-05-22 22:45:27,192.31.216.190,delete,任务详情
firefox,玉英县,2019-05-22 22:40:24,197.106.201.98,put,任务详情
safari,北京县,2019-05-21 17:18:41,203.0.112.147,put,任务详情
firefox,倩市,2019-05-27 12:15:34,203.0.59.155,get,项目列表
firefox,巢湖县,2019-05-28 08:13:54,193.217.128.227,post,任务详情
safari,玉英县,2019-05-29 12:00:23,169.230.50.203,delete,项目详情
firefox,颖市,2019-05-22 06:49:27,192.52.201.75,get,项目列表
chrome,建军县,2019-05-21 15:38:13,198.50.60.244,post,项目列表
chrome,南京市,2019-05-26 04:11:28,169.192.168.56,delete,个人信息
chrome,北京县,2019-05-26 15:18:02,192.52.172.81,post,项目详情
firefox,巢湖县,2019-05-22 21:14:14,55.128.250.95,put,任务列表
chrome,想县,2019-05-22 20:09:10,192.52.192.137,post,任务详情
firefox,北京县,2019-05-22 03:06:00,192.175.13.165,put,主页
chrome,刚市,2019-05-20 04:01:31,192.52.143.214,put,任务列表
safari,东莞县,2019-05-21 06:05:14,192.52.143.138,get,项目详情
chrome,伟县,2019-05-20 01:56:37,169.192.168.56,option,项目详情
ie,北京县,2019-05-22 12:01:29,192.0.1.59,get,主页
firefox,华县,2019-05-29 15:33:50,198.17.139.74,put,任务列表
ie,乌鲁木齐县,2019-05-28 01:14:33,192.93.129.42,put,任务列表
firefox,龙县,2019-05-21 08:52:09,57.126.171.51,post,主页
firefox,汕尾县,2019-05-22 05:57:05,192.52.199.237,get,主页
safari,刚市,2019-05-29 06:55:29,192.52.68.139,option,个人信息
ie,伟县,2019-05-20 01:58:48,192.0.3.183,post,项目详情
safari,宜都市,2019-05-28 02:28:06,198.51.208.103,option,项目详情
chrome,华市,2019-05-29 01:19:09,202.112.176.9,post,任务详情
chrome,利县,2019-05-21 20:33:46,203.0.76.165,get,项目详情
safari,利县,2019-05-23 04:57:23,198.50.75.135,put,主页
ie,利县,2019-05-24 09:29:29,169.255.215.157,delete,个人信息
chrome,倩市,2019-05-24 01:07:25,192.52.143.214,option,任务列表
ie,玉英县,2019-05-27 17:23:43,192.94.13.134,get,项目列表
safari,潜江县,2019-05-28 06:59:59,192.0.86.164,option,项目详情
safari,华县,2019-05-28 12:27:34,202.112.176.9,post,任务列表
safari,颖市,2019-05-27 23:27:15,192.197.89.19,delete,项目详情
firefox,华县,2019-05-25 09:03:42,192.31.178.28,put,主页
safari,北京县,2019-05-29 00:34:37,192.91.20.221,delete,任务详情
safari,乌鲁木齐县,2019-05-27 13:25:09,198.51.101.90,post,任务详情
chrome,伟县,2019-05-22 00:21:51,192.0.86.164,get,任务列表
firefox,玉英县,2019-05-20 11:42:14,57.126.171.51,option,项目详情
chrome,玉英县,2019-05-23 22:41:43,203.0.59.155,post,主页
ie,想县,2019-05-21 11:53:43,192.49.28.87,put,任务详情
chrome,北京县,2019-05-29 00:48:55,198.50.60.244,option,任务列表
firefox,潜江县,2019-05-27 06:31:35,1.228.115.113,delete,个人信息
safari,天津市,2019-05-22 21:05:40,192.52.252.250,get,个人信息
safari,伟县,2019-05-22 15:00:12,192.52.252.250,post,任务详情
chrome,北京县,2019-05-23 04:31:06,169.192.168.56,option,个人信息
safari,华县,2019-05-29 03:06:10,192.52.192.137,option,任务列表
ie,汕尾县,2019-05-24 03:37:35,192.6.65.180,post,项目详情
chrome,刚市,2019-05-28 10:48:18,202.112.176.9,get,项目详情
firefox,潜江县,2019-05-23 04:49:31,169.169.36.164,delete,任务详情
firefox,建军县,2019-05-22 02:02:31,192.174.87.217,delete,个人信息
firefox,刚市,2019-05-26 03:29:48,192.88.166.197,delete,项目列表
ie,北京县,2019-05-20 08:32:35,192.0.53.46,put,项目列表
firefox,刚市,2019-05-22 02:10:22,192.52.252.250,put,任务列表
safari,想县,2019-05-26 04:24:30,169.230.50.203,post,任务列表
firefox,玉英县,2019-05-22 15:34:13,192.52.192.218,option,主页
chrome,东莞县,2019-05-25 11:02:45,198.50.54.119,get,主页
chrome,刚市,2019-05-25 19:58:39,192.88.156.255,post,任务详情
ie,潜江县,2019-05-22 01:05:32,169.242.249.63,put,项目列表
firefox,玉英县,2019-05-27 06:45:48,192.52.152.30,get,任务列表
ie,刚市,2019-05-22 08:35:46,198.51.101.90,delete,主页
ie,华市,2019-05-22 10:01:52,203.0.76.165,option,任务列表
safari,乌鲁木齐县,2019-05-21 06:33:37,198.51.101.90,put,任务详情
ie,东莞县,2019-05-24 18:17:11,192.52.143.138,get,个人信息
firefox,天津市,2019-05-27 05:30:07,203.98.157.202,get,主页
chrome,潜江县,2019-05-26 05:34:53,192.3.52.74,post,项目详情
ie,利县,2019-05-24 14:07:11,192.172.71.27,put,任务详情
safari,玉英县,2019-05-26 14:14:10,192.3.52.74,get,项目详情
chrome,宜都市,2019-05-26 09:36:43,169.253.193.81,get,个人信息
ie,华市,2019-05-23 00:40:14,192.56.204.58,get,主页
firefox,刚市,2019-05-23 08:00:10,192.175.38.219,post,任务列表
safari,宜都市,2019-05-28 22:57:06,192.0.11.58,delete,主页
ie,华县,2019-05-21 00:21:43,192.175.75.191,option,项目详情
ie,乌鲁木齐县,2019-05-23 14:37:01,192.53.2.210,put,任务列表
firefox,伟县,2019-05-26 01:43:38,192.175.169.242,post,主页
safari,倩市,2019-05-22 00:15:54,192.56.204.58,option,任务详情
safari,伟县,2019-05-25 11:37:18,55.128.250.95,option,任务详情
firefox,华县,2019-05-20 11:18:31,192.197.89.19,put,任务详情
safari,宜都市,2019-05-21 01:32:34,192.197.89.19,post,任务详情
firefox,华市,2019-05-26 06:53:38,192.52.252.250,option,任务列表
chrome,北京县,2019-05-26 21:06:59,169.169.36.164,option,主页
chrome,华市,2019-05-26 10:09:02,192.175.169.242,delete,主页
firefox,龙县,2019-05-24 09:30:48,192.52.152.30,get,个人信息
chrome,南京市,2019-05-23 20:38:28,192.49.28.87,get,项目列表
firefox,利县,2019-05-25 09:22:05,192.31.178.28,delete,个人信息
firefox,想县,2019-05-23 08:16:14,192.31.197.204,option,任务详情
chrome,巢湖县,2019-05-25 13:09:49,192.175.13.165,get,项目列表
safari,利县,2019-05-20 19:04:51,198.51.108.180,option,项目列表
chrome,潜江县,2019-05-27 15:53:19,192.94.13.134,get,项目详情
chrome,潜江县,2019-05-25 04:03:59,192.0.11.58,option,任务列表
chrome,华市,2019-05-20 19:55:34,192.88.166.197,put,个人信息
chrome,宜都市,2019-05-20 13:06:21,55.128.250.95,option,个人信息
chrome,北京县,2019-05-26 14:21:14,192.91.130.219,get,任务列表
firefox,华县,2019-05-25 08:31:46,192.175.58.238,post,项目列表
firefox,潜江县,2019-05-28 08:42:44,193.217.128.227,delete,任务详情
firefox,伟县,2019-05-22 15:40:36,192.167.183.73,get,项目列表
safari,伟县,2019-05-28 04:56:30,192.31.211.99,delete,任务列表
safari,建军县,2019-05-25 05:55:12,192.53.2.210,post,任务详情
safari,颖市,2019-05-25 06:35:39,192.0.53.46,option,主页
safari,华县,2019-05-29 09:58:45,192.1.229.163,delete,个人信息
firefox,乌鲁木齐县,2019-05-22 10:17:19,203.0.59.155,get,项目列表
firefox,刚市,2019-05-20 06:39:31,198.51.101.90,put,主页
firefox,龙县,2019-05-28 20:54:12,192.167.183.73,delete,项目列表
firefox,巢湖县,2019-05-28 02:15:41,192.52.198.1,delete,主页
firefox,南京市,2019-05-28 15:57:02,192.0.1.59,post,任务详情
firefox,汕尾县,2019-05-29 16:09:09,192.88.57.235,option,项目详情
firefox,东莞县,2019-05-29 03:20:08,192.175.169.242,get,项目详情
chrome,倩市,2019-05-26 19:19:00,192.174.87.217,put,主页
safari,伟县,2019-05-22 01:17:26,1.228.115.113,get,主页
ie,乌鲁木齐县,2019-05-25 06:07:06,192.88.57.235,get,主页
chrome,天津市,2019-05-20 11:21:50,192.88.127.141,put,任务详情
safari,颖市,2019-05-20 05:59:28,192.175.169.242,option,项目详情
safari,玉英县,2019-05-25 09:05:35,192.52.143.138,option,项目详情
safari,巢湖县,2019-05-26 04:47:56,192.54.169.39,delete,主页
firefox,北京县,2019-05-23 14:26:54,192.31.197.204,get,项目列表
chrome,华市,2019-05-25 00:18:33,192.83.9.215,post,任务详情
chrome,龙县,2019-05-27 00:57:09,192.52.152.30,post,个人信息
firefox,宜都市,2019-05-25 03:18:06,169.201.129.49,delete,任务列表
firefox,龙县,2019-05-24 08:36:10,192.172.71.27,post,项目列表
chrome,伟县,2019-05-27 02:08:03,192.52.152.30,get,项目列表
firefox,乌鲁木齐县,2019-05-29 13:49:05,192.31.211.99,get,任务详情
chrome,伟县,2019-05-22 01:58:14,199.190.135.236,put,任务列表
chrome,颖市,2019-05-26 01:26:59,169.230.50.203,post,任务详情
chrome,南京市,2019-05-23 09:28:33,192.167.94.147,put,主页
ie,汕尾县,2019-05-27 03:58:12,192.52.199.237,post,任务详情
chrome,南京市,2019-05-25 21:18:25,198.51.108.180,put,项目详情
firefox,伟县,2019-05-25 01:51:47,192.88.166.197,put,项目详情
firefox,宜都市,2019-05-22 20:07:16,4.254.229.140,post,任务详情
firefox,想县,2019-05-23 00:19:06,192.93.129.42,put,项目列表
firefox,玉英县,2019-05-25 17:35:39,192.3.52.74,get,项目详情
safari,玉英县,2019-05-28 06:18:34,203.0.59.155,get,项目列表
chrome,巢湖县,2019-05-25 19:30:08,192.88.96.161,post,项目列表
chrome,想县,2019-05-24 08:53:23,192.52.172.81,option,任务详情
safari,乌鲁木齐县,2019-05-24 05:33:14,192.88.96.161,put,项目详情
chrome,南京市,2019-05-26 07:14:19,192.1.229.163,put,项目列表
chrome,北京县,2019-05-28 10:00:20,192.88.66.73,put,个人信息
chrome,颖市,2019-05-22 17:23:39,169.230.50.203,get,项目列表
ie,华市,2019-05-23 12:12:05,192.88.127.141,post,主页
safari,龙县,2019-05-29 14:02:47,203.98.157.202,delete,主页
ie,刚市,2019-05-29 10:13:35,216.111.3.86,post,主页
chrome,宜都市,2019-05-23 15:14:34,202.112.176.9,put,主页
safari,乌鲁木齐县,2019-05-28 00:21:21,192.52.198.1,get,任务列表
firefox,龙县,2019-05-26 21:25:25,55.128.250.95,get,项目列表
chrome,巢湖县,2019-05-26 20:29:55,192.52.172.81,post,项目列表
firefox,想县,2019-05-24 18:51:18,203.0.76.165,post,任务列表
safari,天津市,2019-05-27 02:02:28,192.141.156.158,option,个人信息
chrome,倩市,2019-05-27 04:20:45,192.57.46.44,option,主页
chrome,华县,2019-05-22 14:21:01,202.112.176.9,get,项目详情
safari,利县,2019-05-21 19:06:20,192.167.183.73,option,任务列表
chrome,北京县,2019-05-23 18:15:53,192.172.71.27,get,主页
chrome,乌鲁木齐县,2019-05-22 02:55:38,7.216.233.147,get,项目详情
ie,北京县,2019-05-22 19:15:19,57.126.171.51,put,个人信息
safari,颖市,2019-05-21 06:01:46,169.255.140.124,delete,项目详情
firefox,宜都市,2019-05-27 01:33:53,199.190.135.236,delete,主页
ie,宜都市,2019-05-22 05:29:01,203.6.167.148,post,项目详情
firefox,巢湖县,2019-05-21 10:48:15,192.175.58.238,post,个人信息
ie,宜都市,2019-05-25 18:42:00,193.217.128.227,get,任务列表
chrome,乌鲁木齐县,2019-05-20 04:39:00,192.174.87.217,post,任务列表
safari,东莞县,2019-05-29 05:07:15,192.174.87.217,get,任务列表
ie,倩市,2019-05-25 18:24:55,192.52.198.1,put,任务列表
ie,东莞县,2019-05-28 22:15:06,198.50.60.244,put,主页
chrome,华县,2019-05-26 19:03:53,175.83.83.87,option,个人信息
chrome,建军县,2019-05-29 02:39:18,192.0.1.59,put,任务详情
chrome,刚市,2019-05-29 07:38:52,192.31.211.99,post,项目列表
firefox,东莞县,2019-05-24 03:28:28,198.50.75.135,get,项目列表
ie,建军县,2019-05-27 01:58:55,198.50.54.119,post,任务详情
chrome,华县,2019-05-26 20:30:25,193.217.128.227,get,主页
chrome,天津市,2019-05-23 17:51:17,192.167.183.73,delete,个人信息
safari,华县,2019-05-25 12:44:35,192.52.152.30,delete,主页
chrome,东莞县,2019-05-21 11:24:28,198.50.75.135,get,个人信息
safari,华县,2019-05-20 16:24:32,192.175.169.242,post,项目列表
chrome,华县,2019-05-27 13:19:07,203.6.167.148,option,任务详情
chrome,乌鲁木齐县,2019-05-21 16:21:06,192.83.9.215,post,个人信息
chrome,利县,2019-05-28 03:03:00,203.0.84.137,get,任务详情
ie,华县,2019-05-29 04:22:18,192.172.71.27,option,项目列表
firefox,天津市,2019-05-22 06:32:19,216.111.3.86,post,个人信息
firefox,想县,2019-05-23 08:43:34,192.172.74.3,get,任务详情
firefox,汕尾县,2019-05-20 16:17:23,192.167.94.147,delete,项目详情
firefox,天津市,2019-05-24 17:32:58,192.0.3.183,put,项目详情
firefox,潜江县,2019-05-26 15:08:54,200.65.59.250,get,项目详情
ie,颖市,2019-05-24 03:30:17,197.154.176.98,delete,项目列表
firefox,天津市,2019-05-28 03:39:00,216.111.3.86,put,项目详情
safari,巢湖县,2019-05-25 17:05:12,192.54.169.39,get,个人信息
ie,想县,2019-05-22 22:54:34,192.175.38.219,option,个人信息
chrome,伟县,2019-05-29 04:19:58,169.192.168.56,put,任务详情
firefox,宜都市,2019-05-22 15:24:17,192.31.211.99,post,任务列表
safari,乌鲁木齐县,2019-05-21 03:25:53,216.111.3.86,option,项目列表
safari,颖市,2019-05-20 00:19:53,192.52.152.30,get,项目列表
safari,东莞县,2019-05-26 04:02:25,169.242.249.63,delete,项目列表
ie,汕尾县,2019-05-26 08:37:37,192.167.94.147,put,任务列表
firefox,北京县,2019-05-27 18:06:20,198.51.208.103,delete,任务列表
ie,天津市,2019-05-28 13:42:34,192.3.52.74,post,任务列表
firefox,乌鲁木齐县,2019-05-22 09:25:02,192.88.66.73,get,主页
firefox,华市,2019-05-28 21:35:07,1.228.115.113,get,项目列表
chrome,建军县,2019-05-24 06:20:19,216.111.3.86,post,项目列表
firefox,巢湖县,2019-05-24 17:33:17,4.254.229.140,post,任务详情
firefox,宜都市,2019-05-20 09:07:10,192.52.192.218,post,个人信息
firefox,巢湖县,2019-05-20 13:34:56,192.0.11.58,put,任务列表
safari,倩市,2019-05-27 18:29:01,7.216.233.147,put,任务详情
firefox,宜都市,2019-05-28 03:37:53,203.98.157.202,option,任务详情
safari,华县,2019-05-20 13:58:45,55.128.250.95,option,任务详情
chrome,华市,2019-05-28 23:06:17,203.0.84.137,put,任务详情
firefox,龙县,2019-05-22 17:58:36,192.31.211.99,get,任务列表
ie,玉英县,2019-05-28 01:18:06,192.52.201.75,put,任务列表
ie,巢湖县,2019-05-21 12:15:09,192.167.94.147,delete,个人信息
ie,南京市,2019-05-26 19:41:51,202.112.176.9,put,个人信息
safari,颖市,2019-05-23 14:58:15,192.83.9.215,get,项目列表
safari,建军县,2019-05-22 13:52:19,192.93.129.42,get,项目详情
chrome,玉英县,2019-05-28 09:04:28,192.88.57.235,delete,个人信息
firefox,伟县,2019-05-28 12:15:56,192.52.172.81,option,个人信息
chrome,南京市,2019-05-24 21:56:36,203.23.202.51,put,项目详情
ie,伟县,2019-05-26 08:32:31,203.0.59.155,delete,个人信息
safari,倩市,2019-05-20 00:21:11,192.3.52.74,get,主页
safari,潜江县,2019-05-24 17:05:58,192.172.71.27,delete,项目列表
firefox,利县,2019-05-24 16:36:20,197.106.201.98,delete,项目详情
chrome,乌鲁木齐县,2019-05-25 12:20:59,198.50.60.244,option,个人信息
safari,刚市,2019-05-23 19:31:11,175.83.83.87,get,主页
chrome,北京县,2019-05-27 17:06:18,192.175.38.219,put,任务列表
firefox,龙县,2019-05-22 16:28:45,55.128.250.95,put,个人信息
chrome,颖市,2019-05-26 15:03:09,192.88.96.161,delete,任务列表
ie,刚市,2019-05-26 21:17:35,169.242.249.63,delete,任务详情
firefox,倩市,2019-05-25 23:06:52,192.0.3.183,delete,任务详情
firefox,建军县,2019-05-20 02:01:33,192.0.11.58,post,任务详情
ie,潜江县,2019-05-20 00:11:02,192.141.156.158,put,主页
safari,东莞县,2019-05-23 19:59:19,198.50.75.135,get,任务列表
firefox,南京市,2019-05-28 18:40:13,192.0.3.183,option,个人信息
chrome,东莞县,2019-05-29 15:41:03,192.0.11.58,delete,任务详情
safari,天津市,2019-05-26 04:39:14,4.248.225.66,post,项目列表
chrome,倩市,2019-05-29 03:00:58,169.242.249.63,put,主页
firefox,华县,2019-05-20 23:58:36,203.0.76.165,option,项目列表
chrome,巢湖县,2019-05-20 03:09:07,192.88.96.161,post,主页
ie,天津市,2019-05-29 13:46:11,203.0.59.155,put,任务详情
chrome,潜江县,2019-05-20 15:09:48,193.217.128.227,get,主页
safari,东莞县,2019-05-20 10:56:19,192.0.3.183,get,项目列表
